ID,POS,NAME,SINGLE,DOUBLE,TRIPLE,HOMERUN,WALK,STRIKEOUT,OUT
1,1B,Rob Buchek,0.162668326,0.059379289,0.003622724,0.044384411,0.083609851,0.14196313,0.50437227
2,2B,Drew Tomanek,0.154252544,0.040345139,0.005868961,0.047083497,0.047362173,0.138852921,0.566234766
3,3B,Andy Young,0.143976781,0.052964976,0.003713472,0.027271538,0.118227979,0.216786563,0.437058691
4,SS,John Webb,0.149796718,0.050303172,0.005914014,0.0371391,0.112002045,0.192826454,0.452018497
5,LF,Ty Scherman,0.17420984,0.043467144,0.008855481,0.040175365,0.08208633,0.152090946,0.499114894
6,CF,George Nen,0.138871278,0.040041093,0.010593123,0.039497254,0.106777707,0.193209633,0.471009912
7,RF,Mark Sykes,0.171319919,0.048803645,0.00506485,0.035887418,0.076633471,0.161195913,0.501094784
8,C,Al Yost,0.146531385,0.062868865,0.001675101,0.037703086,0.139216994,0.157683363,0.454321206
9,DH,Gar Ricci,0.163784195,0.047045157,0.002243494,0.027488715,0.073177443,0.146362419,0.539898577
10,OF,Marty Batiste,0.153456818,0.0425178,0.009316507,0.041271183,0.072208776,0.183969449,0.497259468
11,OF,Don Page,0.1698055,0.048372389,0.001675101,0.031251494,0.112201453,0.225521179,0.411172884
12,IF,Bob Burda,0.163248451,0.053311965,0.008010122,0.035384266,0.097780473,0.173127167,0.469137557
13,C,Jorge Cabrera,0.153090791,0.058471351,0.004633711,0.040539531,0.088689709,0.124079261,0.530495646
1,SP,Kris Neff,0.14525408,0.051752199,0.006278812,0.022245756,0.101157122,0.210361337,0.462950694
2,SP,Bo Fordyce,0.20300139,0.036558028,0.006626743,0.030562388,0.067558416,0.291178309,0.364514724
3,SP,Lou Hillman,0.158966152,0.045187051,0.003708915,0.033300075,0.076478037,0.177768027,0.504591743
4,SP,Terry Melendez,0.129543104,0.049344927,0.007521899,0.022017162,0.088726543,0.140730048,0.562116317
5,SP,Kevin Dawkins,0.122262207,0.050249452,0.003859317,0.02476644,0.056159053,0.151243919,0.591459613
6,SP,Huck Barone,0.166914452,0.04020564,0.00519121,0.030528592,0.049783362,0.271566471,0.435810274
7,SP,Clayton Shanks,0.126551166,0.067454006,0.00208506,0.023387306,0.049917892,0.218721219,0.511883351
8,SP,John Cash,0.139678202,0.050152746,0.003886982,0.017274437,0.083219222,0.18264086,0.523147551
9,SP,Richie Leonard,0.156780981,0.03691286,0.004212395,0.026578202,0.089831038,0.172671672,0.513012853
10,SP,Bobby Kelly,0.164526025,0.041976524,0.00385967,0.023909175,0.05606524,0.102280829,0.607382537
11,SP,Jordan Therrien,0.15773358,0.054587608,0.005531326,0.023619845,0.086708199,0.110391844,0.561427598
12,SP,Al Pill,0.146105936,0.055624728,0.002033453,0.033228678,0.067776642,0.159086092,0.53614447
13,SP,Melky Tucker,0.144494182,0.04734766,0.009495225,0.019274827,0.046491601,0.16058785,0.572308655
