ID,POS,NAME,SINGLE,DOUBLE,TRIPLE,HOMERUN,WALK,STRIKEOUT,OUT
1,1B,Dick Slaughter,0.143090229,0.056230434,0.005274858,0.039253294,0.132247057,0.197775439,0.42612869
2,2B,Herman Baez,0.182218856,0.046688687,0.004942019,0.033207849,0.109613012,0.18426713,0.439062446
3,3B,Tom Hulbert,0.128887504,0.047495129,0.002761165,0.029707717,0.116334741,0.203525245,0.4712885
4,SS,Dickie Valverde,0.152464207,0.049759729,0.001675101,0.036690005,0.074318536,0.2091024,0.475990022
5,LF,Jerad Eyre,0.19064119,0.062132911,0.001703297,0.022002845,0.11054216,0.128686113,0.484291484
6,CF,Wyatt Brown,0.14453377,0.056158311,0.008078465,0.034245394,0.13233572,0.135538401,0.489109938
7,RF,Mike Wright,0.19107956,0.041333771,0.008661808,0.036136335,0.120565165,0.227392436,0.374830925
8,C,Cecil Atchley,0.158911484,0.050569758,0.007477516,0.01937882,0.114875832,0.163061582,0.485725007
9,DH,Len Mendoza,0.172785576,0.055523056,0.008137355,0.040789589,0.057449943,0.221715939,0.443598542
10,OF,Mike Riddle,0.171103489,0.056939037,0.001954231,0.042451257,0.116537642,0.163742324,0.44727202
11,OF,Brian Beamon,0.202243232,0.058099546,0.005196497,0.043701849,0.086642809,0.190201239,0.413914828
12,IF,Ray Grimm,0.157856943,0.046892661,0.002949773,0.035541495,0.065993863,0.227109244,0.463656022
13,C,Bob Coble,0.14264054,0.063897129,0.005171287,0.034551945,0.089527763,0.172457501,0.491753835
1,SP,Ferrell Martinez,0.158932947,0.048205349,0.004541228,0.033069267,0.081284017,0.180355428,0.493611764
2,SP,Andrew Rivera,0.150389207,0.046864976,0.004171258,0.027252303,0.074098907,0.101889577,0.595333772
3,SP,Jay James,0.159676526,0.050114628,0.004832219,0.019111473,0.099495645,0.061098584,0.605670925
4,SP,Jack Geggus,0.18298465,0.053449645,0.001177419,0.039308782,0.087606932,0.161597747,0.473874824
5,SP,Matt Buelow,0.120151198,0.054261674,0.004590682,0.031820784,0.09491671,0.240524685,0.453734267
6,SP,Emil Nied,0.141681927,0.051308363,0.004506302,0.031742539,0.054045908,0.274053734,0.442661227
7,SP,Scott Flavin,0.147556269,0.051108085,0.008739426,0.029324041,0.068417568,0.153897558,0.540957054
8,SP,Chico Hobbs,0.122962732,0.060136258,0.006626489,0.035863404,0.104731393,0.18012138,0.489558344
9,SP,John Rodriguez,0.141647974,0.042957745,0.003474924,0.026522357,0.096140473,0.145456874,0.543799652
10,SP,Bob Chapman,0.153912241,0.057003856,0.004799469,0.03380892,0.0926487,0.26766028,0.390166534
11,SP,John Leith,0.174422525,0.058585122,0.003588913,0.025341854,0.049248995,0.131702521,0.55711007
12,SP,Wil Soriano,0.147569018,0.057182169,0.002894587,0.010864429,0.083610406,0.148561561,0.54931783
13,SP,Harry Kaufmann,0.125212539,0.055766666,0.005186294,0.019944037,0.111371654,0.159714975,0.522803833
